postedDt,link,location,title,debug,price
2015-01-23 13:49,/dak/mcd/4843837388.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2015-01-23 04:32,/hnp/mcy/4853112463.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom Special Ed.,,$5500
2015-01-22 13:10,/ank/mcd/4844283371.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 *NEW,,$7199
2015-01-22 13:08,/ank/mcd/4855495971.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2013 Vulcan 900 classic *NEW,,$5999
2015-01-21 12:09,/dak/mcd/4851364812.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic - CHEAP! SALE!! Under BOOK $!!,,$3999
2015-01-20 12:53,/hnp/mcy/4855573977.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki vulcan 900 special edition with 6452 miles,,$4800
2015-01-17 15:24,/hnp/mcd/4851515323.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic VN900B,,$3600
2015-01-13 14:20,/ram/mcy/4845515159.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan 900 Classic LT,,$4000
2015-01-11 20:15,/hnp/mcy/4806101620.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan SE Trike - Cool,,$14000
2015-01-10 11:56,/hnp/mcy/4832376030.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",Vulcan 900 custom special edition 2010,,$4300
2015-01-10 11:56,/hnp/mcy/4832377560.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",Vulcan 900 custom special edition 2010,,$4300
2015-01-02 11:58,/csw/mcd/4793152283.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2011 Vulcan Classic 900,,$5999
2015-01-02 11:56,/csw/mcd/4793137886.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Vulcan 900,,$5499
2015-01-02 11:54,/csw/mcd/4793143847.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Vulcan classic 900,,$6999
2014-12-31 09:30,/ank/mcd/4795898978.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2014-12-26 12:45,/dak/mcd/4781435029.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic - REDUCED !! SALE!,,$3999
